,Unnamed: 0,Number,Name,Start,End,Url,Reactor
0,0,1.0,Saint-Alban,24/02/2023,17/09/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-150,Saint-Alban_1
1,1,2.0,Tricastin,25/05/2023,10/09/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-252,Tricastin_2
2,2,3.0,Tricastin,15/07/2023,19/09/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-332,Tricastin_3
3,3,1.0,Blayais,31/07/2022,24/06/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-149,Blayais_1
4,4,3.0,Chinon,02/05/2023,06/09/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-331,Chinon_3
5,5,1.0,Cattenom,27/05/2023,03/09/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-controle-et-travaux-en-lien-avec-la-corrosion-sous-contrainte-du-reacteur-1,Cattenom_1
6,6,4.0,Dampierre-en-Burly,18/06/2023,24/08/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-432,Dampierre-en-Burly_4
7,7,4.0,Cruas-Meysse,02/06/2023,16/08/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-431,Cruas-Meysse_4
8,8,3.0,Paluel,28/04/2023,11/08/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-330,Paluel_3
9,9,3.0,Blayais,22/06/2023,02/08/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-329,Blayais_3
10,10,1.0,Penly,02/10/2021,21/07/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-et-rechargement-en-combustible-du-reacteur-1,Penly_1
11,11,2.0,Cattenom,04/03/2023,26/07/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-251,Cattenom_2
12,12,2.0,Nogent-sur-Seine,15/04/2023,17/07/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-du-combustible-du-reacteur-23,Nogent-sur-Seine_2
13,13,1.0,Dampierre-en-Burly,26/02/2023,25/06/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-148,Dampierre-en-Burly_1
14,14,4.0,Blayais,11/02/2023,21/06/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-430,Blayais_4
15,15,5.0,Bugey,06/05/2023,01/07/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-56,Bugey_5
16,16,4.0,Chinon,25/02/2023,24/05/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-429,Chinon_4
17,17,2.0,Penly,20/08/2022,21/06/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-250,Penly_2
18,18,1.0,Chooz,18/12/2023,15/05/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-du-combustible-du-reacteur-13,Chooz_1
19,19,1.0,Paluel,17/02/2023,30/05/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-147,Paluel_1
20,20,2.0,Chooz,16/12/2021,19/04/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-non-planifie-puis-pour-maintenance-du-reacteur-2,Chooz_2
21,21,2.0,Civaux,19/11/2021,27/04/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-non-planifie-puis-pour-deuxieme-visite-decennale-du-reacteur-2,Civaux_2
22,22,4.0,Gravelines,26/10/2022,10/02/2023,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-427,Gravelines_4
