,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Url,Reactor,Endt,duration
0,0,0,1.0,Saint-Alban,2023-02-24,2023-09-17,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-150,Saint-Alban_1,,205.0
1,1,1,2.0,Tricastin,2023-05-25,2023-09-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-252,Tricastin_2,,108.0
2,2,2,3.0,Tricastin,2023-07-15,2023-09-19,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-332,Tricastin_3,,66.0
3,3,3,1.0,Blayais,2022-07-31,2023-06-24,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-149,Blayais_1,,328.0
4,4,4,3.0,Chinon,2023-05-02,2023-09-06,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-331,Chinon_3,,127.0
5,5,5,1.0,Cattenom,2023-05-27,2023-09-03,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-controle-et-travaux-en-lien-avec-la-corrosion-sous-contrainte-du-reacteur-1,Cattenom_1,,99.0
6,6,6,4.0,Dampierre-en-Burly,2023-06-18,2023-08-24,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-432,Dampierre-en-Burly_4,,67.0
7,7,7,4.0,Cruas-Meysse,2023-06-02,2023-08-16,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-431,Cruas-Meysse_4,,75.0
8,8,8,3.0,Paluel,2023-04-28,2023-08-11,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-330,Paluel_3,,105.0
9,9,9,3.0,Blayais,2023-06-22,2023-08-02,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-329,Blayais_3,,41.0
10,10,10,1.0,Penly,2021-10-02,2023-07-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-et-rechargement-en-combustible-du-reacteur-1,Penly_1,,657.0
11,11,11,2.0,Cattenom,2023-03-04,2023-07-26,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-251,Cattenom_2,,144.0
12,12,12,2.0,Nogent-sur-Seine,2023-04-15,2023-07-17,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-du-combustible-du-reacteur-23,Nogent-sur-Seine_2,,93.0
13,13,13,1.0,Dampierre-en-Burly,2023-02-26,2023-06-25,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-148,Dampierre-en-Burly_1,,119.0
14,14,14,4.0,Blayais,2023-02-11,2023-06-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-430,Blayais_4,,130.0
15,15,15,5.0,Bugey,2023-05-06,2023-07-01,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-56,Bugey_5,,56.0
16,16,16,4.0,Chinon,2023-02-25,2023-05-24,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-429,Chinon_4,,88.0
17,17,17,2.0,Penly,2022-08-20,2023-06-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-250,Penly_2,,305.0
18,18,18,1.0,Chooz,2021-12-18,2023-05-15,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-du-combustible-du-reacteur-13,Chooz_1,,513.0
19,19,19,1.0,Paluel,2023-02-17,2023-05-30,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-147,Paluel_1,,102.0
20,20,20,2.0,Chooz,2021-12-16,2023-04-19,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-non-planifie-puis-pour-maintenance-du-reacteur-2,Chooz_2,,489.0
21,21,21,2.0,Civaux,2021-11-19,2023-04-27,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-non-planifie-puis-pour-deuxieme-visite-decennale-du-reacteur-2,Civaux_2,,524.0
22,22,22,4.0,Gravelines,2022-10-26,2023-02-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-427,Gravelines_4,,107.0
23,23,23,3.0,Cattenom,2023-03-26,2023-04-23,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-remplacement-du-moteur-d-une-pompe-primaire-controle-et-travaux-en-lien-avec-la-csc,Cattenom_3,,28.0
24,24,24,1.0,Civaux,2022-08-21,2023-02-01,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-deuxieme-visite-decennale-du-reacteur-1,Civaux_1,,164.0
25,25,25,1.0,Cattenom,2022-06-11,2024-02-05,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-146,Cattenom_1,,604.0
26,26,26,5.0,Gravelines,2022-04-16,2022-09-23,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-55,Gravelines_5,,160.0
27,27,27,3.0,Gravelines,2022-03-19,2023-01-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-328,Gravelines_3,,291.0
28,28,28,2.0,Saint-Alban,2022-07-08,2023-01-05,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-249,Saint-Alban_2,,181.0
29,29,29,2.0,Dampierre-en-Burly,2022-04-27,2023-01-09,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-quatrieme-visite-decennale-du-reacteur-23,Dampierre-en-Burly_2,,257.0
30,30,30,3.0,Cruas-Meysse,2022-07-02,2022-12-09,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-326,Cruas-Meysse_3,,160.0
31,31,31,2.0,Belleville-sur-Loire,2022-08-13,2022-12-05,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-246,Belleville-sur-Loire_2,,114.0
32,32,32,2.0,Flamanville,2022-02-12,2022-12-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-248,Flamanville_2,,301.0
33,33,33,2.0,Cruas-Meysse,2022-10-19,2022-12-12,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-247,Cruas-Meysse_2,,54.0
34,34,34,4.0,Cattenom,2022-02-19,2022-12-19,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-426,Cattenom_4,,303.0
35,35,35,3.0,Dampierre-en-Burly,2022-10-26,2022-12-16,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-327,Dampierre-en-Burly_3,,51.0
36,36,36,1.0,Tricastin,2022-11-05,2022-12-18,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-145,Tricastin_1,,43.0
